P6:head_of_gov    location  person/politician  head of government is head of the executive power of this town, city, municipality, state, country, or other governmental body
P17:country    location location/country    country is sovereign state of this item; don’t use on humans
P22:father    person    person/man  father is male parent of the subject. For stepfather, use ”stepparent”
P27:citizenship    person   location/country    country of citizenship is the object is a country that recognizes the subject as its citizen
P31:instance_of    object object    instance of is that class of which this subject is a particular example and member. (Subject typically an individual member with Proper Name label.)
P39:position    person  title   position held is subject currently or formerly holds the object position or public office
P57:director    work_of_art/movie   person/director director is director(s) of this motion picture, TV-series, stageplay, video game or similar
P58:screenwriter    work_of_art/movie   person/screenwriter screenwriter is author(s) of the screenplay or script for this work
P84:architect    facility/building   person/architect    architect is person or architectural firm that designed this building
P86:composer    work_of_art/music   person/composer composer is person(s) who wrote the music; also use P676 for lyricist
P101:field_of_work    person    title/specialization  field of work is specialization of a person or organization; see P106 for the occupation
P102:member_of_party    person  organization/party  member of political party is the political party of which this politician is or has been a member
P105:taxon_rank    category rank    taxon rank is level in a taxonomic hierarchy
P106:occupation    person   title/occupation   occupation is occupation of a person; see also ”field of work” (Property:P101), ”position held” (Property:P39)
P118:league    person/athlete   league  league is league in which team or player plays or has played in
P123:publisher    work_of_art/book  organization/publisher  publisher is organization or person responsible for publishing books, periodicals, games or software
P127:owned_by    object    object   owned by is owner of the subject
P131:located_in    location location    located in the administrative territorial entity is the item is located on the territory of the following administrative entity. Use P276 (location) for specifying the location of non-administrative places and for items about events
P135:movement    person event/movement  movement is literary, artistic, scientific or philosophical movement associated with this person or work
P136:genre    person/artist   category/genre   genre is creative work’s genre or an artist’s field of work (P101). Use main subject (P921) to relate creative works to their topic
P137:operator    facility   person|organization    operator is person or organization that operates the equipment, facility, or service; use country for diplomatic missions
P140:religion    person|organization religion    religion is religion of a person, organization or religious building, or associated with this subject
P150:contains    location   location    contains administrative territorial entity is (list of) direct subdivisions of an administrative territorial entity
P156:followed_by    object object   followed by is immediately following item in some series of which the subject is part. Use P1366 (replaced by) if the item is replaced, e.g. political offices, states
P159:headquarters    organization   location    headquarters location is specific location where an organization’s headquarters is or has been situated
P175:performer    work_of_art   person/artist   performer is performer involved in the performance or the recording of a work
P176:manufacturer    product    organization/company   manufacturer is manufacturer or producer of this product
P178:developer    product   person|organization  developer is organisation or person that developed this item
P241:military_branch    person  organization/military   military branch is branch to which this military unit, award, office, or person belongs, e.g. Royal Navy
P264:record_label    person/musician organization/record_label   record label is brand and trademark associated with the marketing of subject music recordings and music videos
P276:location    event  location    location is location of the item, physical object or event is within. In case of an administrative entity use P131. In case of a distinct terrain feature use P706.
P306:operating_system    product/software   product/operating_system    operating system is operating system (OS) on which a software works or the OS installed on hardware
P355:subsidiary    organization organization    subsidiary is subsidiary of a company or organization, opposite of parent company (P749)
P400:platform    product/software   product/platform    platform is platform for which a work has been developed or released / specific platform version of a software developed
P403:mouth_of_watercourse    location/body_of_water   location/body_of_water    mouth of the watercourse is the body of water to which the watercourse drains
P407:language    work   language    language of work or name is language associated with this work or name (for persons use P103 and P1412)
P449:original_network    work_of_art/show   media/television_network    original network is network(s) the radio or television show was originally aired on, including
P460:same_as    object   object   said to be the same as is this item is said to be the same as that item, but the statement is disputed
P466:occupant    facility   person|organization    occupant is person or organization occupying a building or facility
P495:country_of_origin    location/country  work_of_art country of origin is country of origin of the creative work or subject item
P527:has_part    object  object    has part is part of this subject. Inverse property of ”part of” (P361).
P551:residence    person    location    residence is the place where the person is, or has been, resident
P674:characters    work_of_art  person/character    characters is characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)
P706:located_on_terrain    location location    located on terrain feature is located on the specified landform. Should not be used when the value is only political/administrative (provinces, states, countries, etc.). Use P131 for administrative entity.
P710:participant    participant event   participant is person, group of people or organization (object) that actively takes/took part in the event (subject). Preferably qualify with ”object has role” (P3831). Use P1923 for team participants.
P740:location_of_formation    location  organization    location of formation is location where a group or organization was formed
P750:distributor    work_of_art organization/distributor    distributor is distributor of a creative work
P800:notable_work   person work    notable work is notable scientific, artistic or literary work, or other work of significance among subject’s works
P931:place_served    facility/transport_hub   location    place served by transport hub is city or region served by this transport hub (airport, train station, etc.)
P937:work_location    person    location    work location is location where persons were active
P974:tributary    location/body_of_water    location/body_of_water  tributary is stream or river that flows into this main stem (or parent) river
P991:successful_candidate    event/election person/candidate    successful candidate is person(s) elected after the election
P1001:jurisdiction    legal_entity  location    applies to jurisdiction is the item (an institution, law, public office ...) belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)
P1303:instrument    person  instrument  instrument is musical instrument that a person plays
P1344:participant    person event   participant of is event a person or an organization was a participant in, inverse of P710 or P1923
P1346:winner    event   person  winner is winner of an event - do not use for wars or battles
P1408:licensed    media location    licensed to broadcast to is place that a radio/TV station is licensed/required to broadcast to
P1411:nominated_for    candidate  title/award nominated for is award nomination received by a person, organisation or creative work (inspired from ”award received”  Property:P166))
P1435:heritage    location/heritage_site    title/designation   heritage designation is heritage designation of a historical site
P1877:after_work    work_of_art person/author   after a work by is artist whose work strongly inspired/ was copied in this item
P1923:participating_teams    event/competition  person/team participating teams is Like ’Participant’ (P710) but for teams. For an event like a cycle race or a football match you can use this property to list the teams and P710 to list the individuals (with ’member of sports team’ (P54)’ as a qualifier for the individuals)
P3373:sibling    person person  sibling is the subject has the object as their sibling (brother, sister, etc.). Use ”relative” (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)
P3450:sports_season    date event/sports_competition   sports season of is property that shows the competition of which the item is a season
P4552:mountain_range    location/peak    location/mountain    mountain range is range or subrange to which the geographical item belongs
P25:mother    person    person/woman    mother is female parent of the subject. For stepmother, use ”stepparent” (P3448)
P26:spouse    person    person  spouse is the subject has the object as their spouse (husband, wife, partner, etc.). Use ”unmarried partner” (P451) for non-married companions
P40:child    person person  child is subject has the object in their family as their offspring son or daughter (independently of their age)
P59:constellation    space_object/star   space_object/constellation   constellation is the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)
P155:follows    successor   predecessor   follows is immediately prior item in some series of which the subject is part. Use P1365 (replaces) if the preceding item was replaced, e.g. political offices, states and there is no identity between precedent and following geographic unit
P177:crosses    facility/bridge location/body_of_water  crosses is obstacle (body of water, road, ...) which this bridge crosses over or this tunnel goes under
P206:located_near_water    location    location/body_of_water    located in or next to body of water is sea, lake or river
P361:part_of    part    whole   part of is object of which the subject is a part. Inverse property of ”has part” (P527). See also ”has parts of the class” (P2670).
P364:original_language    work  language    original language of work is  language in which a film or a performance work was originally created. Deprecated for written works; use P407 (”language of work or name”) instead.
P410:military_rank    person    title/military_rank military rank is military rank achieved by a person (should usually have a ”start date” qualifier), or military rank associated with a position
P412:voice_type    person/singer    category/voice_type voice type is person’s voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)
P413:position_played    person  title/sports_position   position played on team / speciality is position or specialism of a player on a team, e.g. Small Forward
P463:member_org    member   organization    member of is organization or club to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a position such as a member of parliament (use P39 for that).
P641:sport    person/athlete    sport   sport is sport in which the entity participates or belongs to
P921:subject    work    topic   main subject is primary topic of a work (see also P180: depicts)
P2094:competition_class    person/athlete   category/competition_class  competition class is official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion